Code,Class,Sub_Class,Ward_No,Rd_ID,Rd_Name,Locality,Colony,No_floors,Cons_type,Area,Descr,Bldg_Id,SHEET_ID,Shape_Leng,Shape_Le_1,Shape_Length,Shape_Area,height_m
64,7,Hotel / Restaurant,68,RD_5152, ,CHAKKAROTHKULAM,CHAKKAROTHKULAM,1,M,0.000000000000000, ,BL_163895A,365,15.304441504900000,15.304441504900000,15.304441504900385,12.868617768721132,3.5000000
A,6,House,68,RD_4829, ,CHAKKAROTHKULAM, ,1,P,0.000000000000000, ,BL_147800A,365,28.787169021099999,28.787169021099999,28.787169021096386,51.781138505532105,3.5000000
A,6,House,68,RD_4829, ,CHAKKAROTHKULAM, ,1,P,0.000000000000000, ,BL_147875A,365,26.681821771799999,26.681821771799999,26.681821771775049,42.218909651893242,3.5000000
89,9,Residential & Health Services,68,RD_5233A, ,CHAKKAROTHKULAM, ,1,P,0.000000000000000, ,BL_147909A,365,30.003799999100000,30.003799999100000,30.003799999132752,46.925420494201880,3.5000000
A,6,House,68,RD_5233A, ,CHAKKAROTHKULAM, ,1,P,0.000000000000000, ,BL_147912A,365,20.960114873700000,20.960114873700000,20.960114873739435,27.299911762412677,3.5000000
A,6,House,68,RD_5233A, ,CHAKKAROTHKULAM, ,2,P,0.000000000000000, ,BL_147912B,365,19.232545868100001,19.232545868100001,19.232545868093187,22.555179753586348,7.0000000
A,6,House,68,RD_5152, ,CHAKKAROTHKULAM,CHAKKAROTHKULAM,2,P,0.000000000000000, ,BL_162570,365,37.388326426100001,37.388326426100001,37.388326426146286,84.393522461878305,7.0000000
64,7,Hotel / Restaurant,68,RD_5152, ,CHAKKAROTHKULAM,CHAKKAROTHKULAM,1,P,0.000000000000000, ,BL_149927B,365,33.951152979400000,33.951152979400000,33.951152979446739,63.762972903853814,3.5000000
76,8,Service,68,RD_5152, ,CHAKKAROTHKULAM,CHAKKAROTHKULAM,1,P,0.000000000000000, ,BL_149927A,365,34.189394823900003,34.189394823900003,34.189394823922861,65.782390294823003,3.5000000
A,6,House,68,RD_958, ,WESTHILL, ,1,P_K,0.000000000000000, ,BL_147591, ,64.570708914600004,64.570708914600004,11.719180349527624,4.112625535991299,3.5000000
